ID,sex,group,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8
MPX301,male,NR,26.97,27.83,28.03,28.40,28.60,29.70,30.47,31.60,32.33
MPX302,male,NR,24.03,25.12,25.40,26.85,28.50,29.63,30.67,32.07,33.77
MPX303,male,IPR,26.13,25.72,26.93,27.28,29.03,30.83,32.93,33.50,34.93
MPX304,male,IPR,24.43,24.73,25.60,26.28,27.17,28.73,30.57,30.47,31.23
MPX305,male,PR,26.40,25.78,25.37,26.48,27.00,27.33,27.90,28.53,29.13
MPX306,male,PR,25.93,26.26,26.33,27.12,27.83,29.00,29.47,29.70,30.57
MPX307,male,NR,25.93,25.46,25.63,26.00,27.20,28.27,29.33,30.90,31.83
MPX308,male,NR,26.33,26.35,27.57,28.91,30.20,32.13,33.53,35.10,35.77
MPX309,male,IPR,25.13,24.73,26.07,26.28,28.03,29.20,31.13,32.87,33.67
MPX310,male,IPR,24.93,24.65,24.97,25.24,26.20,27.47,29.40,30.63,32.23
MPX311,male,PR,26.80,26.75,26.27,26.51,27.20,27.43,27.83,27.97,29.00
MPX312,male,PR,26.03,26.03,26.43,27.43,27.93,28.27,28.33,28.73,30.00
MPX313,male,NR,27.13,29.07,30.47,32.07,34.00,35.70,35.70,37.50,38.83
MPX314,male,NR,22.83,23.46,24.07,25.17,26.73,28.40,29.13,30.87,32.33
MPX315,male,IPR,25.70,25.53,26.57,27.24,28.27,29.13,31.27,32.80,34.80
MPX316,male,IPR,25.10,25.19,25.53,26.09,27.10,28.47,30.87,32.17,33.70
MPX317,male,PR,26.50,26.63,27.53,27.91,28.47,28.60,29.43,29.63,30.27
MPX318,male,PR,24.30,24.37,24.43,24.78,25.53,26.77,27.23,27.50,27.87
MPX319,male,NR,26.10,26.81,27.67,28.27,28.77,30.00,31.37,32.83,35.47
MPX320,male,NR,26.03,26.57,28.43,30.00,31.57,33.63,34.43,36.43,37.50
MPX321,male,IPR,26.63,27.32,27.77,29.13,30.03,31.93,32.93,33.83,34.77
MPX322,male,IPR,26.07,26.28,27.53,29.50,31.23,30.47,33.03,33.93,35.93
MPX323,male,PR,26.40,25.95,25.90,26.78,27.60,29.50,30.47,30.70,31.77
MPX324,male,PR,27.33,28.46,29.03,29.65,29.97,31.43,32.67,33.43,34.60
MPX325,male,NR,23.13,23.63,23.63,23.82,24.37,24.30,24.90,25.37,25.97
MPX326,male,NR,23.57,24.46,25.00,26.23,26.27,27.03,27.67,28.20,29.07
MPX327,male,IPR,25.00,25.06,26.30,28.23,29.83,31.10,33.70,35.27,36.53
MPX328,male,IPR,24.17,23.76,24.17,24.40,25.57,26.03,28.87,30.10,32.23
MPX329,male,PR,26.70,26.97,26.60,27.23,28.43,29.13,29.03,29.47,30.10
MPX330,male,PR,25.27,26.27,26.50,27.20,27.83,28.87,29.23,29.80,30.77
MPX331,male,NR,22.90,23.53,24.00,24.10,25.00,26.27,26.63,27.17,28.23
MPX332,male,NR,25.53,25.92,26.80,28.17,29.77,31.60,32.77,33.70,35.60
MPX333,male,IPR,25.97,26.73,26.77,27.30,29.10,29.67,31.63,33.13,34.27
MPX334,male,IPR,25.00,25.98,27.43,28.77,30.47,32.03,33.70,35.47,36.50
MPX335,male,PR,26.73,26.48,25.83,25.70,26.03,26.20,26.07,26.43,26.53
MPX336,male,PR,23.57,23.10,22.57,23.20,23.33,24.17,24.17,24.27,24.83
MPX337,male,NR,26.30,27.25,29.40,31.60,33.43,34.27,35.10,36.03,37.20
MPX338,male,NR,25.93,26.92,27.23,28.57,29.40,30.60,31.63,32.90,34.47
MPX339,male,IPR,25.17,25.31,25.60,26.53,27.17,28.27,30.43,32.00,33.03
MPX340,male,IPR,26.30,26.48,27.43,29.27,31.93,33.67,35.83,36.20,37.60
MPX341,male,PR,24.23,24.59,24.50,24.80,25.77,26.30,26.70,27.13,28.17
MPX342,male,PR,23.53,23.24,23.30,23.53,24.17,24.37,25.17,25.27,25.43
IPR01,female,PR,20.43,21.57,22.20,21.45,22.47,23.30,24.07,24.97,25.90
IPR02,female,PR,20.43,21.27,21.30,21.40,21.83,22.77,22.80,23.00,23.67
IPR03,female,IPR,21.02,21.67,22.87,23.35,24.13,25.27,26.20,27.57,28.40
IPR04,female,IPR,20.42,21.57,21.43,21.85,22.17,23.00,24.03,24.53,25.57
IPR05,female,IPR,17.85,17.90,18.97,20.40,19.10,19.50,19.67,20.17,20.53
IPR06,female,IPR,20.97,21.80,22.67,22.85,22.30,22.93,22.97,23.10,23.87
IPR07,female,NR,20.75,21.10,21.33,21.55,22.20,22.60,22.53,23.03,24.03
IPR08,female,NR,20.82,21.77,21.60,22.15,23.57,24.00,24.60,25.60,27.57
IPR09,female,NR,19.55,20.23,20.90,21.90,21.47,22.00,21.93,22.43,23.27
IPR10,female,NR,20.08,21.13,22.03,20.85,23.63,25.83,27.33,28.50,30.03
IPR11,female,NR,19.88,21.17,21.67,22.80,22.33,23.27,23.30,23.30,24.27
IPR12,female,NR,17.77,18.90,19.30,19.05,19.37,20.33,20.30,20.57,20.43
IPR13,female,IPR,20.55,21.63,22.07,22.70,22.87,23.33,23.27,24.37,25.67
IPR14,female,IPR,20.95,21.60,21.37,22.25,23.27,23.63,23.83,24.23,24.57
IPR15,female,NR,19.88,21.50,21.67,21.95,22.23,23.60,23.63,22.87,24.37
IPR16,female,NR,21.40,22.57,23.27,23.70,24.07,25.47,26.77,27.97,27.50
IPR17,female,PR,20.53,21.13,21.10,21.20,21.20,22.03,22.10,22.60,23.43
IPR18,female,PR,19.02,19.40,20.27,20.85,21.03,21.57,21.80,21.87,22.13
IPR19,female,NR,20.18,21.63,22.70,22.95,23.03,24.13,24.30,25.73,27.57
IPR20,female,NR,19.78,21.10,21.40,21.40,22.30,23.13,24.20,25.13,26.63
IPR21,female,IPR,20.68,21.77,22.50,22.30,22.47,24.07,24.03,24.40,25.47
IPR22,female,IPR,20.97,21.73,21.73,21.20,22.77,23.10,23.20,23.70,24.33
IPR23,female,PR,19.77,20.97,20.93,20.90,21.33,21.97,22.70,22.93,23.73
IPR24,female,PR,21.12,22.50,22.80,22.95,24.07,24.97,24.70,24.37,25.27
