ID,sex,group,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,avg_weeks_IPR_on_PR_diet,avg_weeks_IPR_on_NR_diet
MPX303,male,IPR,2.1,2.85,3.2,3.35,3.63,3.1,3.6,3.2,3.6,3.12,3.51
MPX304,male,IPR,3.3,3.01,2.5,3.2,2.67,2.7,3.7,3.1,3.5,3,3.09
MPX309,male,IPR,3,2.91,3.1,3.07,3.3,3.4,3.55,3.75,3.5,3.28,3.36
MPX310,male,IPR,3.3,2.46,2.6,2.78,2.75,2.85,3.65,3.25,3.2,2.83,3.05
MPX315,male,IPR,3.5,2.95,2.95,2.98,2.87,2.7,3.75,3.75,3.74,3.09,3.33
MPX316,male,IPR,2.8,2.87,2.3,3.42,2.97,3.65,3.55,3.95,3.6,3.47,3.11
MPX321,male,IPR,3.2,3.47,2.81,3.72,3.11,3.85,3.4,3.35,2.6,3.6,2.98
MPX322,male,IPR,2.9,2.42,2.68,3.13,2.94,3.1,3.2,3.7,3.8,3.09,3.15
MPX327,male,IPR,4.1,2.76,3.2,4,3.6,3.3,4.05,3.5,3.6,3.39,3.61
MPX328,male,IPR,2.5,2.79,2.61,3.1,3.42,3.2,3.75,3.65,3.6,3.19,3.35
MPX333,male,IPR,4.3,3.51,2.61,3.3,3.44,2.75,3.3,3.9,3.8,3.36,3.29
MPX334,male,IPR,2,3.02,2.96,3.45,3.42,3.5,3.9,3.95,3.7,3.48,3.5
MPX339,male,IPR,3.7,2.93,3.03,3.1,3.8,3.15,3.65,3.6,3,3.19,3.37
MPX340,male,IPR,2.1,3.46,3.2,3.6,3.85,3.7,3.45,3.4,3.5,3.54,3.5
MPX301,male,NR,3.6,3,2.73,3,2.25,2.4,2.45,3.15,2,2.89,2.36
MPX302,male,NR,1.8,2.82,2.25,2.45,2.62,2.8,3.2,2.95,3.2,2.76,2.82
MPX307,male,NR,4,2.55,2.25,2.85,2.62,3.45,2.45,3.05,2.7,2.97,2.51
MPX308,male,NR,3.8,2.57,2.95,2.78,3.19,3,2.95,3.25,2.5,2.9,2.9
MPX313,male,NR,4.4,3.52,3.15,3.09,3.64,3.25,2.85,2.75,2.8,3.15,3.11
MPX314,male,NR,3.8,3.07,2.5,2.78,3.23,3.25,2.6,3.15,2.6,3.06,2.73
MPX319,male,NR,2.8,2.55,2.28,2.83,2.5,2.3,3.2,3.15,2.3,2.71,2.57
MPX320,male,NR,3.1,2.35,2.59,3.22,3.19,2.8,2.55,3.2,2.4,2.89,2.68
MPX325,male,NR,3.5,3.15,2.75,2.66,3.09,2.2,3.25,2.75,2.2,2.69,2.82
MPX326,male,NR,2.6,2.77,2.72,2.78,2.84,3.15,3.25,2.8,3.1,2.87,2.98
MPX331,male,NR,2.5,2.64,2.41,2.4,2.7,2.65,2.55,2.75,2.4,2.61,2.52
MPX332,male,NR,2.4,2.87,3.09,2.8,2.9,3.3,3,2.7,3.3,2.92,3.07
MPX337,male,NR,1.9,3.04,3.22,3.05,2.7,3.05,2.8,2.85,3.7,3,3.1
MPX338,male,NR,3,3.2,2.92,2.55,2.7,3.3,3,3,3.1,3.01,2.93
MPX305,male,PR,3.1,3.25,2.75,3.35,3.48,3.3,3.2,3.1,3.1,3.25,3.13
MPX306,male,PR,3.1,3.44,3.65,4.09,4.34,3.5,4,3.8,4.2,3.71,4.05
MPX311,male,PR,3.9,2.77,2.9,3.45,3.29,3.5,4,3.3,3.7,3.25,3.47
MPX312,male,PR,2.5,3.16,3.3,4.1,3.77,3.65,3.5,3.8,4,3.68,3.64
MPX317,male,PR,3.5,3.56,3.45,3.16,4.03,3.65,3.7,3.9,3.7,3.57,3.72
MPX318,male,PR,3.5,2.43,3.23,3.5,3.89,3.4,3.5,3.75,3.5,3.27,3.53
MPX323,male,PR,3.1,3.01,3.11,3.55,3.21,4,3.75,3.95,4.3,3.63,3.59
MPX324,male,PR,3.5,3.25,3.07,3.19,3.76,3.25,3.35,3.45,4,3.28,3.54
MPX329,male,PR,3.9,2.81,2.93,3.6,3.6,3.4,3.25,3.25,2.8,3.27,3.14
MPX330,male,PR,2.2,3.14,3.14,3.25,3.85,3.5,3.35,3.45,3.7,3.33,3.51
MPX335,male,PR,4.5,2.63,2.86,3.05,3.45,3.25,3.15,3.45,3.5,3.09,3.24
MPX336,male,PR,1.6,2.91,2.76,3.35,3.05,3.35,3.1,3.2,3.7,3.2,3.15
MPX341,male,PR,3.4,2.68,2.65,3.3,3.4,2.15,3.6,3.1,3.4,2.81,3.26
MPX342,male,PR,3.1,3.26,3.22,3,3.3,3.15,3.35,3.15,3,3.14,3.22
IPR01,female,PR,2.59,3.17,2.73,2.91,2.91,3.4,3.29,3.13,3.12,3.15,3.01
IPR02,female,PR,3.04,3.49,3.29,3.24,3.31,3.44,3.31,3.47,3.55,3.41,3.37
IPR03,female,IPR,2.91,2.87,2.94,3.09,2.8,3.17,2.87,2.99,2.57,3.03,2.8
IPR04,female,IPR,2.71,2.94,3.07,2.86,2.49,3.14,2.73,3.01,2.73,2.99,2.75
IPR05,female,IPR,1.99,2.73,2.07,2.59,2.33,2.7,2.43,2.66,2.32,2.67,2.29
IPR06,female,IPR,2.39,3.34,2.89,3.21,2.7,3.26,2.83,3.3,2.72,3.28,2.78
IPR07,female,NR,2.6,3.01,2.8,2.73,2.73,2.89,2.73,2.84,2.85,2.87,2.78
IPR08,female,NR,2.24,2.6,2.69,2.96,2.49,2.77,2.51,2.96,2.9,2.82,2.65
IPR09,female,NR,2.77,2.67,2.9,2.76,2.64,2.77,2.8,2.96,2.85,2.79,2.8
IPR10,female,NR,2.21,2.69,2.86,2.7,3.03,3.57,2.89,3.2,3.33,3.04,3.03
IPR11,female,NR,2.84,2.97,2.77,2.83,2.59,2.86,2.5,2.67,3,2.83,2.71
IPR12,female,NR,2.63,2.79,2.71,2.57,3.16,2.27,2.53,2.7,2.67,2.58,2.77
IPR13,female,IPR,2.76,3.3,2.86,3.19,2.61,3.31,2.84,3.56,2.88,3.34,2.8
IPR14,female,IPR,3.09,3.4,2.91,3.33,3.27,3.19,3.09,3.4,2.93,3.33,3.05
IPR15,female,NR,2.83,2.89,2.81,2.7,2.5,2.8,2.37,2.46,2.87,2.71,2.64
IPR16,female,NR,2.91,2.94,2.9,2.8,2.64,3.17,2.97,2.77,2.58,2.92,2.77
IPR17,female,PR,2.31,3.14,3.16,2.93,2.87,3.09,3.04,3.19,2.82,3.09,2.97
IPR18,female,PR,2.54,2.97,3.13,3.09,3.17,3.24,3.2,3.06,3.52,3.09,3.25
IPR19,female,NR,2.73,3.03,3.07,2.96,2.84,3.31,2.77,3.3,3.28,3.15,2.99
IPR20,female,NR,2.6,2.86,2.76,2.79,2.57,3.07,2.9,3.07,2.97,2.95,2.8
IPR21,female,IPR,2.81,3.31,2.99,3.16,2.51,3.3,2.77,3.29,3.02,3.26,2.82
IPR22,female,IPR,2.66,3.3,2.61,3.1,2.64,3.03,2.8,3.14,2.82,3.14,2.72
IPR23,female,PR,2.8,3.21,3.14,3,2.69,3.13,3.07,3.07,3.27,3.1,3.04
IPR24,female,PR,3.73,3.93,3.8,3.7,3.59,3.9,3.19,3.53,3.27,3.76,3.46
IPR25,female,IPR,2.33,2.76,2.59,2.74,2.39,2.57,2.64,2.69,2.48,2.69,2.52
IPR26,female,IPR,2.29,3.13,2.51,2.8,2.37,2.89,2.53,2.89,2.35,2.93,2.44
IPR27,female,NR,2.51,2.89,2.79,2.77,2.73,2.93,2.67,2.77,2.8,2.84,2.75
IPR28,female,NR,2.94,2.69,2.63,2.66,2.29,2.59,2.63,2.73,2.73,2.66,2.57
IPR29,female,PR,2.57,2.74,2.89,2.66,2.63,3.9,2.89,2.91,2.95,3.05,2.84
IPR30,female,PR,2.89,3.2,2.94,2.94,2.71,2.06,2.93,2.84,3.1,2.76,2.92
IPR31,female,IPR,3.07,3.91,3.44,3.79,3.1,2.29,3.19,3.6,3.35,3.4,3.27
IPR32,female,IPR,2.9,3.29,2.79,3.13,2.86,3.13,2.97,3.36,2.77,3.23,2.85
IPR33,female,PR,2.86,3.29,3.09,2.97,2.86,3.54,3.14,2.86,3.17,3.16,3.06
IPR34,female,PR,2.59,3.64,3.43,3.2,3.33,3.61,3.61,3.39,3.27,3.46,3.41
IPR35,female,PR,2.9,3.46,3.19,3.26,2.91,2.99,2.94,3.23,3,3.23,3.01
IPR36,female,PR,2.83,3.24,3.19,3.2,3.07,3.04,3.04,3.49,3.32,3.24,3.15
