ID,sex,group,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,avg_weeks_IPR_on_PR_diet,avg_weeks_IPR_on_NR_diet
MPX301,male,NR,0.65,0.54,0.49,0.54,0.41,0.43,0.44,0.57,0.36,0.52,0.42
MPX302,male,NR,0.32,0.51,0.41,0.44,0.47,0.50,0.58,0.53,0.58,0.50,0.51
MPX303,male,IPR,0.38,0.11,0.58,0.13,0.65,0.12,0.65,0.13,0.65,0.12,0.63
MPX304,male,IPR,0.59,0.12,0.45,0.13,0.48,0.11,0.67,0.12,0.63,0.12,0.56
MPX305,male,PR,0.56,0.13,0.11,0.13,0.14,0.13,0.13,0.12,0.12,0.13,0.13
MPX306,male,PR,0.56,0.14,0.15,0.16,0.17,0.14,0.16,0.15,0.17,0.15,0.16
MPX307,male,NR,0.72,0.46,0.41,0.51,0.47,0.62,0.44,0.55,0.49,0.54,0.45
MPX308,male,NR,0.68,0.46,0.53,0.50,0.57,0.54,0.53,0.59,0.45,0.52,0.52
MPX309,male,IPR,0.54,0.12,0.56,0.12,0.59,0.14,0.64,0.15,0.63,0.13,0.61
MPX310,male,IPR,0.59,0.10,0.47,0.11,0.49,0.11,0.66,0.13,0.58,0.11,0.55
MPX311,male,PR,0.70,0.11,0.12,0.14,0.13,0.14,0.16,0.13,0.15,0.13,0.14
MPX312,male,PR,0.45,0.13,0.13,0.16,0.15,0.15,0.14,0.15,0.16,0.15,0.15
MPX313,male,NR,0.79,0.63,0.57,0.56,0.66,0.59,0.51,0.50,0.50,0.57,0.56
MPX314,male,NR,0.68,0.55,0.45,0.50,0.58,0.59,0.47,0.57,0.47,0.55,0.49
MPX315,male,IPR,0.63,0.12,0.53,0.12,0.52,0.11,0.68,0.15,0.67,0.12,0.60
MPX316,male,IPR,0.50,0.11,0.41,0.14,0.53,0.15,0.64,0.16,0.65,0.14,0.56
MPX317,male,PR,0.63,0.14,0.14,0.13,0.16,0.15,0.15,0.16,0.15,0.14,0.15
MPX318,male,PR,0.63,0.10,0.13,0.14,0.16,0.14,0.14,0.15,0.14,0.13,0.14
MPX319,male,NR,0.50,0.46,0.41,0.51,0.45,0.41,0.58,0.57,0.41,0.49,0.46
MPX320,male,NR,0.56,0.42,0.47,0.58,0.57,0.50,0.46,0.58,0.43,0.52,0.48
MPX321,male,IPR,0.58,0.14,0.50,0.15,0.56,0.15,0.61,0.13,0.47,0.14,0.54
MPX322,male,IPR,0.52,0.10,0.48,0.13,0.53,0.12,0.58,0.15,0.68,0.12,0.57
MPX323,male,PR,0.56,0.12,0.12,0.14,0.13,0.16,0.15,0.16,0.17,0.15,0.14
MPX324,male,PR,0.63,0.13,0.12,0.13,0.15,0.13,0.13,0.14,0.16,0.13,0.14
MPX325,male,NR,0.63,0.57,0.50,0.48,0.56,0.40,0.59,0.50,0.40,0.48,0.51
MPX326,male,NR,0.47,0.50,0.49,0.50,0.51,0.57,0.59,0.50,0.56,0.52,0.54
