ID,sex,group,condition,ghrelin_pg_per_ml
MPX322,male,IPR,dark_onset,516.07
MPX327,male,IPR,dark_onset,481.401
MPX328,male,IPR,dark_onset,297.777
MPX333,male,IPR,dark_onset,733.612
MPX334,male,IPR,dark_onset,258.308
MPX339,male,IPR,dark_onset,547.135
MPX340,male,IPR,dark_onset,455.297
MPX303,male,IPR,light_onset,362.542
MPX304,male,IPR,light_onset,831.473
MPX309,male,IPR,light_onset,335.732
MPX310,male,IPR,light_onset,276.458
MPX316,male,IPR,light_onset,403.296
MPX321,male,IPR,light_onset,776.362
MPX315,male,IPR,light_onset,372.799
MPX320,male,NR,dark_onset,193.333
MPX325,male,NR,dark_onset,1173.375
MPX326,male,NR,dark_onset,493.541
MPX331,male,NR,dark_onset,360.884
MPX332,male,NR,dark_onset,285.399
MPX337,male,NR,dark_onset,272.857
MPX338,male,NR,dark_onset,452.197
MPX302,male,NR,light_onset,160.429
MPX307,male,NR,light_onset,222.701
MPX308,male,NR,light_onset,151.89
MPX313,male,NR,light_onset,334.036
MPX314,male,NR,light_onset,441.297
MPX301,male,NR,light_onset,130.735
MPX319,male,NR,light_onset,277.466
MPX324,male,PR,dark_onset,296.019
MPX329,male,PR,dark_onset,322.087
MPX330,male,PR,dark_onset,495.052
MPX335,male,PR,dark_onset,1113.934
MPX336,male,PR,dark_onset,631.826
MPX341,male,PR,dark_onset,535.363
MPX342,male,PR,dark_onset,775.036
MPX305,male,PR,light_onset,535.363
MPX306,male,PR,light_onset,458.391
MPX312,male,PR,light_onset,796.169
MPX317,male,PR,light_onset,529.449
MPX318,male,PR,light_onset,684.642
MPX323,male,PR,light_onset,433.463
MPX311,male,PR,light_onset,464.897
